text,labels
RT @DrJillStein: Where is the defense of Wikileaks from all the pundits who've speculated that Trump would try to silence critical journalism? &#129300;,1.0
"If it came down to a choice, I'd take #DonaldTrump over #TedCruz or #MarcoRubio. Conservatives legislate morality &amp; that's scary",0.0
@UnderArmour You're in a position to send a real message to President Trump. You should do so.,0.0
And #DonaldTrump just candidly admitted he started worrying about #TedCruz right to serve as prez because of Cruz' improving poll numbers,1.0
"POLITICAL TIP - Trump will not become president due to his ""hidden agenda"" deal with corporate america ?? #donaldtrump #hillaryclinton #usa",0.0
"""Would You Even Care If He Was Guilty?"" Asks Fox News; But Trump Is Mad At Fox All The Same",0.0
@USER @USER exactly where garage belongs. #votebluetosaveamerica,0.0
@USER today biden showed himself too weak to be a world leader. trump was the fighter we need as a president. i'm more confident now more than ever in voting for trump,1.0
Democratic Congressman Rocks Trump's World With Bill To Force Him To Sell His Businesses via @politicususa  YES!!!,0.0
#DonaldTrump &amp; #TedCruz stopped their #GOPDebate attacks only when #JebBush’s iPhone went off &amp; his #MeghanTrainor ringtone filled the hall.,0.0
"@USER ""and what about demon seed, madame speaker?  why haven't you addressed alien dna?"" i knew mccarthy was stupid but, surely, he must know how any comment regarding #covid19 by the #gop will be met with righteous derision!  🙄 HTTP",0.0
"#HillaryClinton vs. #DonaldTrump - It's the WarGames election of 2016: ""A strange game. The only winning move is not to play.""",0.0
Sen.BLUMENTHAL (D) your party already broke the law no one but your Democrat I hope you get it( President TRUMP is the best),1.0
"It's going to take a level headed white woman to stop a angry white man. 
#TrumpTrain derailment

#ImWithHer #Hillary2016 #HillYes #Vote2016",0.0
"@USER it continues to be shameful that @USER does not have his national priorities straight. it should be #peopleoverprofits, not the other way around. #humanrights #votebluetosaveamerica",0.0
"President Trump Gives Remarks on MS-13 to Federal, State, and Local Law ...  via @YouTube",0.0
"#HillaryClinton says she made her emails public. Big deal, I make everything that pops into my head public. #DonaldTrump #DemTownHall",1.0
@realDonaldTrump No more Bush or Hillary Clinton,1.0
"#Cruz2016 life long conservative or #Trump2016 life long liberal, who changed all of his beliefs overnight

Who should we vote for? #PJNET",0.0
@USER it’s genius. the #democrats fall for it every time! #maga,1.0
America: Isn't it time we ignored Donald Trump? He's not a serious person. @NYPD should revoke his gun permit. #Immigration #NBC,0.0
"If #DonaldTrump can pull out his dumbass bully jerk man card, then #HillaryClinton can certainly pull out her intelligent wise woman card.",0.0
@USER @USER couldn’t they at least hire cardboard cutouts to take up some space on the empty floor they were waving at? how pathetic. #trump2020,0.0
I support Team Trump! Download the official app:  #MakeAmericaGreatAgain #TrumpTrain,1.0
bernie wants to ban fracking and lose pennsylvania. #demdebate,0.0
"Sarah Palin endorses #DonaldTrump over his rival #TedCruz on, what proved 2 B, a very bad day 4 Cruz. We'll have analysis 4 u on #CNN",0.0
"John O'Donnell, former president of Trump Plaza Hotel & Casino ... @realDonaldTrump said ""laziness is a trait in blacks.",0.0
Rubio and Fiorina have one thing in common....they both don't show up to work #FeelTheBern #BernieSanders #Hillary2016 #DonaldTrump,0.0
"@granthpaulsen Trump as NFL analyst would be a lot like Thiesman. Senseless jabber, constantly contradicting himself and no one knows how he got there!",0.0
Seems the evidence reflects #Trump2016 can't make an argument against conservative solutions so resorts to mock &amp; ridicule. #Cruz2016,0.0
#HillaryClinton is talking about finding Alzheimer's cure. #DonaldTrump only talks about himself-he's a bully and misogynist @MSNBC,0.0
"There is still more to be done to make this country strong, powerful and great again. #TrumpCarson2016",0.0
the #americans act like they are defenders of human right and even try to supervise on how we run our own #africa yet they violate the rights of the the #black people in us. they call our smart working #africanleaders #dictators yet they house a terrorist president #donaldtrump HTTP,0.0
"i liked #warren, but idc who he picked #biden2020 always had my vote! 45 must go and that's not up for debate. next subject please. there is no need for a drag session.  he chose who he chose.",0.0
"@blakehounshell They're using them to recruit, and AG Lynch is preparing indictment papers against Trump. 😜 #Trump2016 #Cruz2016",1.0
RT @drmistercody: Literally the first sentence of @realDonaldTrump's apology was a lie.,0.0
@HillaryClinton has the endorsement of 12 current governors and 38 current senators. #TedCruz &amp; #DonaldTrump have ZERO. What's that tell u?,0.0
Pastor cautions Christian women about those Trump-loving Men of the Christian Right&#8212;and he NAILS it,0.0
#December7 remember Pearl Harbor #Trump2016 we have a tendency to forget history quickly and make the same mistakes #TedCruz strong leaders,1.0
i’d very much do be ready to vote for @USER in the #2020elections if i could tbh with you... call me bias but man has only missed once in his entire career no way he’s a bad president,0.0
@realDonaldTrump I know you are the best candidate. You are the only one who can #MakeAmericaGreatAgain #RestoreOurRepublic,0.0
"#rnc2020 #foxrnc #oann #rncconvention2020 
excellent combos of feels and counterpunching.",1.0
RT @IBexWeBex: Shrill Oompa Loompa thinks he has a better temperament &#128529;#debatenight,0.0
At Least 110 Republican Leaders Won&#8217;t Vote for Donald Trump. Here&#8217;s When They Reached Their Breaking Point,0.0
my tl is all trump and harry potter 😔✌🏻,0.0
"interview with carmen carbonell, 88-year-old cuban american, a fervent supporter of president trump, at a rally on saturday in miami. #presidentialdebate #trump2020 #bidenharris2020 #florida #hispanicvote HTTP",0.0
"RT @ChrisDemarais: Wow, this 70 year-old man has a great impression of a 7 year-old boy.    #debate #debatenight #PresidentialDebate",0.0
"@USER @USER trump said ""i'm happy to do that"". he tried to get wallace to name them but as far as i can tell, he didn't.",0.0
"Regardless of what you think of a Trump or Cruz presidency, how could it be worse than Obama? #Trump2016 #Cruz2016",1.0
"@USER @USER @USER @USER @USER @USER @USER @USER @USER great list. every resistance voice matters.  please follow or follow me back.  #blm #voteblue #maskup btw, in order to keep my followers and following numbers balanced i give people a week to follow back. i want a conversation with other resisters not numbers",0.0
"@USER i wonder why demmys didn’t have daughter speak?  maybe they would have to acknowledge the violence they ignored at the dnc. well, it’s a good thing david dorns daughter was not *forced* to endorse potus!  good thing ann dorn was free to make up her own mind.  #trump2020",1.0
RT @emmyrossum: Melania Trump wants to have a platform to talk about cyberbullying?? Check out your husband's Twitter feed and start there.,0.0
"""At least he's not Trump!"" Trump and Pence are 2 sides of the same coin and Pence is also gonna run this country to the ground.",0.0
"medicare for all for everyone man, woman, and child will cost less than the status quo. currently we pay the highest prices in the world per capita. #medicareforall #demdebate",0.0
"thank you, #joebiden ! you are doing an amazing job standing up to this sham of a president. thank you!!!!",0.0
clearly the budget for this was close to $0 #rnc2020,0.0
@USER who cares what slick willie says? he should be in jail! why aren’t you writing about this?  #trump2020 #voteredtosaveamerica #slickwillie #maga HTTP,1.0
"@USER cory cory cory “boy” you gotta a lot of nerve to talk about corruption!!! like all you democrats aren’t in someone’s hip pocket? you and your old compadres are the most corrupt motherfuckers in the world, you all should be arrested and put under the court house. #draintheswamp",0.0
"@Cernovich Trump is getting cucked. All he needs to do is hire Pro-Trump people only, and focus on what he campaigned on, its not complicated.",0.0
@USER how could you hear anything over trump's loud and constant interruptions?,0.0
@RSherman_25 Join Twitter Trump brigade #onethousandtweets to support message #MakeAmericaGreatAgain @realDonaldTrump,1.0
"But seriously, even the Trump supporter is going to want to switch to the gossipy nonpolitical stuff/Bible documentaries on Fox News.",0.0
#Trump #Cruz ticket announced would likely end the conversation. No way the two of them wouldn't leave Washington changed forever #Trump2016,1.0
Only good thing about Trump's presidential run is that by the end of it he will be a billion or 2 short,0.0
via @USER: ukrainian church leader who called covid 'punishment for same-sex marriage' has covid HTTP,0.0
"Every time #DonaldTrump says #HillaryClinton doesn't have the ""Strength &amp; Stamina"" to be president I hear ""WOMAN"" &amp; it pisses me off!",0.0
"I see striking similarities between #DonaldTrump and #NAMO style of campaigning! if this continues this way, #Hillary gonna find it tough!",0.0
democrats condemn ‘shocking abdication’ of responsibility as intelligence officials scale back election security briefings - HTTP,0.0
Every #SecretaryofState by definition creates Top Secret and Classified communications Shes well aware Jail for #Hillary #GOP #Trump2016,1.0
@mike_pence comparison to Trump to Roosevelt? Walk softly and carry a big stick. Nothing like Trump who tramples everything in his path.,0.0
"I think many were duped by #Cruz, who with more &amp; more evidence seems 2 have used ""anti-estab SHOWS"" to fool us~but he IS #GOPe!

#Trump2016",1.0
"@realDonaldTrump #Trump2016 interesting..#HillaryClinton has some big donors coming from Iran. Take their oil, Mr. Trump! They're scared",1.0
"@USER that wasn't a debate. it was joe &amp; chris trying to play chess with a pigeon!

trump's not going to improve with age, so i don't know about joe, but i'd tell trump to go &amp; debate all of his ass clowns!

this election's already decided, &amp; we're just waiting for the official votes!",0.0
"@USER no, i don't trust you anymore. #votebluetosaveamerica",0.0
26/ The Palm Beach County Sheriff reported that Trump costs his office $60K/day when he's at Mar-A-Lago. Trump profits; everyone else pays.,0.0
"@USER @USER new jersey 
❤️🤍💙🇺🇸  #trump2020 🇺🇸💙🤍❤️",0.0
Every one of #Cruz answers were so scripted! Just another lawyer/politician that will say anything to get elected #Trump2016,1.0
"hey y'all giving a big old s/o to donald trump, we settled our differences and are butt tight now",1.0
"@alexia #HillaryClinton has shown the world, and her peers at the State Department, that she's a horrible leader. #Legend #Trump2016",1.0
We need Obama out and @realDonaldTrump in the White House ASAP,1.0
"@Newsmax_Media  I bet the @realDonaldTrump does. This man knows how to save our country w/o tiptoeing around, playing games.",0.0
@USER texas will never be blue. #votered #trump2020,1.0
"SO,#Socialist Democrat  #Bernie2016 &amp; #Hillary2016 Voter's,WEthePeople R Ready for Civil WAR! WE're NOT Giving U 1 CENT in TAX's! #TRUMP2016",1.0
"this debate is so fun, i'm almost sorry i had bourbon before watching... this would have been just as interesting sober...
#demdebate",0.0
someone explain to me why presidents aren't required to have a security clearance and vetted before entering wh? we could have been spared 4 years of having a conman for a president!!!  #trumptaxreturns #trumpisbroke #securityclearance #bidenharris2020 #bidenharrislandslide2020,0.0
"#DonaldTrump was a man yesterday for congratulating #TedCruz as soon as he did.

I'd like to see Donald grow more by stopping the insults.",1.0
"#DonaldTrump goal is to hurt #foxnews 

#TedCruz goal is to win a majority of #IowaCaucus voters.

Fine with me if Donald doesn't debate.",0.0
"@USER @USER you are retailing this sh..t @ biden how about trump who is a serial slimeball &amp; womanizer i suppose some women like that kind of guy as u must also be the type who likes 200,000 deaths from covid in us 90% of which were preventabe had uk style measure been taken in hot spots",0.0
@BretBaier U shud hav me on if @MayorEmanuel doesn't hire me cuz I'll write #Trump2016 &amp; SHAKE-UP d 2016 pres race #Hillarybabyitwillbehard!,1.0
"RT @BlissTabitha ""Never quite works out that way huh?  #GlobalWarming HOAX #MediaMalpractice",0.0
@USER you got this president trump!!! give biden hell tonight. show him no mercy.,1.0
"Please, understand that Donald Trump mouth is full of shit due to his Mexican maid having access to his toothbrush.",0.0
want proof voter fraud really exists? here's plenty of evidence HTTP,1.0
"“if you were really a christian you would vote for trump!” 

oh honey, it’s because i’m a christian i can’t vote for trump. #votebluetosaveamerica #votebluetoendthisnightmare #ridenwithbiden2020 #joebiden2020",0.0
"It's a shame #DonaldTrump goes after #JebBush, #TedCruz &amp; #HillaryClinton, he shouldn't worry about what they do in their campaigns!!!",0.0
"#Cruz2016 wants 2 debate @realDonaldTrump so bad he's having super-pac pick up the tab

End your addiction to career politicians #Trump2016",1.0
@USER is a charter member of the pathetic cowards for trump  #maga HTTP,0.0
"@USER president trump’s favorability stayed flat after the rnc, as a majority of the country continues to view his handling of the covid-19 crisis negatively, a poll released sunday found. favorability among republicans dropped 4% since last week. 
#dumptrump 
HTTP",0.0
"@mmurraypolitics @maggieNYT With our Racist-in-Chief they now have come out of the closet. I see Trump signs, even BANNERS, when driving local roads. 2/2",0.0
@ananavarro @AprilDRyan Trump does love his archetypes.,0.0
The clothing #Macys (made in Mexico&China) #NBC (Traders! #Sodomites!) #Univision (will pay!) #RollOn!!! @realDonaldTrump #wiyh,0.0
"#dumptrump2020 #biden2020 #bidenharris2020 #votebidenharris2020 #votebluetosaveamerica 

she was even more disrespectful than pocahontas.

does he not understand how incredibly disrespect he is, always. even when calling someone else disrespectful!!

HTTP",0.0
chris wallace lost the debate and any credibility he had left. whether you are for trump or biden we can agree that his moderating was shocking. #debates2020 #trump #biden #election2020,0.0
"Merck CEO Kenneth Frazier is leaving President Trump's American Manufacturing Council, citing his conscience.",0.0
"U tell one lie to bank, u get charged with fraud. U tell many lies to millions, it's called politics. #DonaldTrump ##TedCruz #HillaryClinton",0.0
Hillary Clinton should be handed over &amp; tried for war crimes. She violated international laws #HillaryLiesMatter  #Trump2016 #TrumpIsRight,1.0
#HillaryClinton is obsessed by videos! Now she's claiming Isis is showing vids of #DonaldTrump to recruit? How lame. She needs a new mantra.,0.0
"Trump's. version of an ""I'm sorry"". This is supposed to put Sessions at ease?  Zero trust in anything Trump says.",0.0
@HillaryClinton flagrantly br8s law and runs for #potus while rest of us would've been locked in irons #Hillary4Prison #Trump2016 #Oscars,1.0
CNN LIVE HD – PRESIDENT TRUMP ON CNN BREAKING NEWS,0.0
"@USER you're only just now realizing that verse is about #drinkbleachdonnie  #trumplorable, right?

#democraticnationalconvention
#shegotitright
#biden
#bernie2020
#biden2020
#votebluetoendthisnightmare
#votebluetosaveamerica
#trumpliespeopledie
#votebluetosaveourlives",0.0
@liabilitybws howdy trump,0.0
"What #conservative #talkradio gets wrong:
#DonaldTrump getting #GOP nomination DOESN'T = #Hillary wins.
PEOPLE HEAR TRUMP",1.0
"RT @SMU: .@SMU's Stephanie Martin says tonight's negativity might suppress turnout, which could help @realDonaldTrump more than @HillaryClinton.",0.0
RT @UAbros: OBAMA for the 3PEAT!!!   OBAMA for the 3PEAT!!!   OBAMA for the 3PEAT!!!   OBAMA for the 3PEAT!!!   OBAMA for the 3PEAT!!!    #debatenight,0.0
RT @MerriamWebster: &#128200; Lookups for 'temperament' are up 78 times over the hourly average. #debates #debatenight #Debates2016,0.0
Holy shit! I don't like #DonaldTrump but he just OWNED #TedCruz on that whole New York speech. #GOPDebate,0.0
@realDonaldTrump @ReillyCarole So he can outsource all our manufacturing to Mexico and China like he does his line. #hypocrite,0.0
#DonaldTrump said eff it...damn liberal hippie's won't take my #TedCruz #birther bait. just gonna have 2 drag his ass myself. #MSNBCNews,1.0
"RT @RodriguezHerron: So wait, guns don't need regulation but women's bodies do?  #debatenight",0.0
"Le(a)nin left RT @uss_victory: @realDonaldTrump /#LongLiveLiberty; Better is a ""#Capitalist"" for President than a #Communist.",1.0
"welp, there ya go. still good with this, trumpers?  #notmypresident     bob woodward book: in trump interviews for 'rage,' president says he downplayed coronavirus threat - the washington post HTTP",0.0
"the publishing of a video by @USER that appeared to be an #election advertisement for #joebiden is under an internal investigation, the taxpayer-funded news service said. HTTP",0.0
@USER @USER so take off your china &amp; islamic masks &amp; librate yourselves the american way. 🇺🇸🇮🇱🙏 #trump2020,1.0
#DonaldTrump is absolute national security threat &amp; is dangerous for America. This is behavior of inexperienced egomaniac. #Cruz no better.,0.0
#DonaldTrump says horrible things about women has said terrible things about #HillaryClinton then accuses #BillClinton of abuse of women?!!,1.0
"#GOPe knows #Trump is the only one who can beat #hillary, &amp; them trying to stop him PROVES they're in bed with Democrats.

#Trump2016 #tcot",1.0
"presidential debate biden trump joe biden donald trump debate president united states usa #biden2020 #trump2020 #debates2020   #debate 😂
 HTTP",0.0
@USER we are the light. they are the darkness. #trump2020!,1.0
yo I had this crazy dream that Donald Trump put the city under Martial Law and was gonna missile sector b and e of the city,0.0
"RT @AntonioFrench: Trump: &#8220;They have no education. They have no jobs.&#8221;      Well, this educated, employed black man CAN&#8217;T WAIT to vote on Election Day. #debate",0.0
@FoxNews if #Obama wasn't so anti-America Iraqi soldiers wouldn't have any problems here. We need a #real leader #donaldtrump #TedCruz,1.0
Lying to justify political correctness is still nothing but a lie.   #Teaparty,0.0
"Trump promised to hold a ""pretty big press conference"" at the WH on Monday, gave a hastily-arranged speech w/o answering any questions.",0.0
#Hillary Puts #HateRadio &amp; #Foxnews #GOP into a Hate Frenzy Worse Than with #Obama~#DonaldTrump Best Able To Do Whats Needed #nyt #cnn #wsj,1.0
"I have been thinking about it, I have so much anger towards Trump, (a few people have mentioned it), could it be...",0.0
"United States President Donald Trump, together with Senators Tom Cotton and David Perdue, unveils the RAISE Act, a…",0.0
"trump says his people told him: ""no matter how well you run obamacare, it is a disaster."" #debates2020",0.0
"@USER @USER @USER @USER this needs to get around, in my opinion. #trump2020 #latinosfortrump HTTP",1.0
as a vermonter transplanted to #scpol let me explain this for my yankee brethren:  @USER is attacking @USER at the #demdebate over the fact that @USER suggested black legislators were only supporting steyer b/c they were paid to. HTTP,0.0
"NEVER in US History Has a past 'FirstLady"" been Elected #POTUS! Are U F'ing Joking with #Hillary2016 BS? Bill is a LYING PERVERT! #TRUMP2016",1.0
@realDonaldTrump I knew that trump would make America great again,1.0
#GOPDebate it looks like #DonaldTrump is the front runner with #TedCruz. #MarcoRubio would be running mate. Rest all were a washout.,1.0
RT @mollycrabapple: And now the pundits weigh in #DebateNight,0.0
"@sallybmccarty @LadyLibertyInEx @carolepheart @Kenfriend5 @ThereseOSulliv2 @RealJamesWoods @realDonaldTrump Oh, let me guess bubble brain, that makes him President Donald Trump, 45th president of the United States of America 🇺🇸",0.0
I am not sure who is coming from other countries but I will assume they must be bad cause I am rich.,0.0
@FortuneMagazine well I said no lol but I hope he does. #Trump2016 is just want the @GOP deserves. #TedCruz2016 will work too. LMFAO,0.0
"if all the people who said they would move out of the us if trump got elected, we wouldn’t be seeing cities on fire, people dying and innocent civilians attacked and destroyed. @USER @USER @USER @USER @USER @USER #trump2020",1.0
"@USER trump has his downfalls, we all do, but at the end of the day he is taking action for all americans. 
#maga
#trump2020 
#whatdoesbidenreallydofortheamericanpeople HTTP",1.0
"@USER freemason catalyzed us deracination projects currently underway:

vaccinations
climate (fires)
nafta
usmca
nau
vacate ca
cv pandemic
boa militance
radicalized dom infrastructures
#maga vaccination mandates

cheri jo bates is a typical example of freemason multi-agency solidarity. HTTP",0.0
"If #TedCruz wins Iowa, will he dent #DonaldTrump in N.H? And if he makes a surge there, what will that mean for #JohnKasich?",0.0
@MarcusC22973194 This as been a stitch up between USA WH TRUMP KUSHNER NETANYAHU. IT STINKS!  GOP collusion with USA Jewish Lobby?? GOOD/BAD - it is wrong!,0.0
"@realDonaldTrump #Cruz is a snake.We don't trust the man. He's lied about vote history, knocks your ideas,then copies em.
#NoCruz #Trump2016",1.0
"RT @desmoinesdem: HRC says Trump even complained Emmys were rigged because he didn't get one for his show. He interrupts, """"I should have got it."""" !!! #debate",0.0
hitler and trump: what do they have in common? #democraticdebate HTTP,0.0
"@USER same way trump paid so little in taxes,

he played and took advantage of the corrupt system put in place by those before him",0.0
“will you shut up man” #debates2020  #bidenharris2020 👏🏼👏🏼👏🏼👏🏼,0.0
"Who thought after the 60's &amp; the Civil Rights struggles we'd be seeing ass-turds like #DonaldTrump, #TedCruz, #MarcoRubio running the #GOP?!",0.0
".@USER can’t draw a crowd,at all! #laughingstock #sleepyjoebiden check out any @USER rally! #energy #freeland #freelandmichigan #trump2020landslide #trump2020 #jobs #stockmarket #liberalismisamentaldisorder",1.0
"RT @lourdesmeluza: Did you use the 916 mill loss in your tax return to avoid paying federal income taxes? Trump:   """"Of course I do"""". """"I absolutely used it"""".",0.0
"As Trump Keeps U.S. #Oil Companies From #Iran, #Russia and #China Step in  by Julian Lee @gadfly #OOTT",0.0
"@nytimes 
Easy. All 3 suck. The Republican Party, Ted Cruz &amp; Donald Trump. They were made for each other.🙇🏻
#TedCruz #DonaldTrump #GOP",0.0
RT @originalspin: A message to @realDonaldTrump from Ronald Reagan's daughter.,0.0
"#trumpfamilycrimesyndicate 
#trumpcancercharitytheft 
#grifterinchief 
#donthecon 
#trumptaxes 

#votebluetosaveamerica 

trump is secretly paying one son’s wife and another son’s girlfriend $180,000 each – using campaign donor money. HTTP",0.0
"wisconsin governor urges trump not to come to kenosha HTTP
#dumptrump",0.0
@USER @USER @USER thank you. trump seems to think he's a dictator...we must stop him. #countryoverparty #biden2020,0.0
"The #GOPe narrative that #Trump can't beat #hillary has been shattered~watching them squirm is gonna be EPIC.

#Trump2016 #tcot",1.0
"#growingupwithmyname People think that I'm sexist. #HillaryClinton told me, its much better than #DonaldTrump Damn! Shes so wise #imwithher",0.0
did somebody just wake grandpa up from his nap? #rnc2020,0.0
Dr. Shackleford Ph.D on Twitter  #Trump #Democrats,1.0
"this is a great idea! let whiny ass liberals try their socialist, pc, cancel culture utopia in fucktardistan. dont come crying when it fails 🤣 #democratsaredestroyingamerica #maga HTTP",1.0
@USER #maga #kag #trump2020 #trump2020landslide y’all need this the most,1.0
@HillaryClinton has the endorsement of 12 current Governors and 38 current Senators. #TedCruz &amp; #DonaldTrump have ZERO. Whats that tell you?,0.0
"@johndarvall the voice of Donald Trump is rather annoying, how does someone so rich sound so common and talk such rubbish",0.0
I admire how real and unapologetic Donald Trump is on his Political standpoints,1.0
"Donald J. Trump @POTUS is doing great damage to America. Towns, cities and states throughout the U.S. are being hurt! #LockHimUp",0.0
"@USER and it doesn't seem to matter how many times he gets caught in a lie, tbey won't leave his side. so pathetic. #voteblue #bidenharris2020",0.0
"@realDonaldTrump  Secret Service spent $35,000 thru April on golf cart rentals at the Trump Mar-a-Lago resort in Florida, CBS News reported.",0.0
"@USER @USER biden calling trump ""clown"" ""fool"" and ""shut up man"" is something i'll take away.
that shows that #joebiden is mean, nasty, and has no respect for the president of the united states or the office",1.0
"When @realDonaldTrump returns home; tail dragging btwn legs, he's gonna change name of #TrumpTowers to #GrumpTowers = Kick-A #Hillary2016!",0.0
@realDonaldTrump I recommend @seanhannity as Sec of Defense and @marklevinshow as your new Atty General.,1.0
"All Presidents in the history of EVER can't bring back one life. Do that, I'll be impressed. #BernieSanders #HillaryClinton #DonaldTrump",0.0
new lincoln project ad offers hopeful message about sending ‘weak’ trump packing - #biden #harris #trump #gop #republican #democrat #democrats  #covid19 #covid #coronavirus #usps HTTP,0.0
"RT @alex_abads: Can we just take this moment to remember that Janet Jackson wrote """"Nasty"""" because of abusive men in her life.  #debatenight #nastywomen",0.0
Remember when things like a Dean scream would get you kicked out of a Presidential race? #DonaldTrump #BenCarson #TedCruz,0.0
the democrats are too busy digging up dirt on each other and finding new ways to assassinate each other’s character to ensure nobody votes for anybody on the democratic side... 🤣 trump wins in a landslide. #demdebate,1.0
I could've sworn #DonaldTrump said he was a winner. Lol. He's been scared of that fool #TedCruz for a while. Why he brought up citizenship,0.0
"""@bradleygay: #TedCruz is reeling off lies about #DonaldTrump faster than you can say Sean #Hannity.  Holy smokes."" He is going for broke.",1.0
@JoshuaGrubbsPhD @jk_rowling @theipaper Isn't his belief in white supremacy part and parcel of Trump's pathological narcissism?,0.0
"@FoxNews @KatrinaPierson Not only is Trump going down, but his corrupt Business empire is going down as well.  He should have stayed a private criminal.",0.0
are you better off than you were 4 years ago? how americans see biden and trump's ability to tackle the economy HTTP,0.0
"can you believe kennedy lost in massachusetts? because he's not radical enough. 
#trumprally #trumprallylatrobe #maga #maga2020",1.0
"just 71 days...

today's truths:

trump did not discover plasma therapy...and it has not been proven effective 35% of the time.

hydroxychloroquine is still medically ineffective against covid-19 and not recommended due to side effects.

#voteblue2020",0.0
"@USER @USER living in hi, many depend on #usps as private mail/shipping options cost more. we need to #saveusps, but there’s time to make other plans to make sure everyone votes &amp; that their ballots are counted~just take that fucker out of the voting equation #bidenharris2020 #fucktrump",0.0
"Hannity would back me up, but no one will call him.   What. The. Eff. #DebateNight #Debates",0.0
"Trumplestiltskin
Now that we know your full name we can finally banish you!
#GOPDebate #Trump #Trump2016 #FeelTheBern #Hillary",0.0
#DonaldTrump says #TedCruz is worse than #HillaryClinton . Trump is already doing free campaign ads for Democrats.,0.0
"Apparently there was a large terror plot foiled in Houston today. FBI has one refugee in custody on terrorism charges.
#DonaldTrump #TedCruz",0.0
